"英-T108.法国空军
　在你的空军阶段开始时使用。配备法国空军。",
"英-T109.布莱切利庄园
　当轴心国发动增强卡效果时使用。你弃置1张手牌，使该增强卡无效。",
"英-T110.英国殖民地部队
　在你的计分阶段开始时使用。你弃置2张手牌，在<非洲北部>或<中东>或<东南亚>或<印度尼西亚>征召陆军。"
"英-T111.保持冷静，继续前进
　当轴心国发动状态卡效果时使用。你弃置1张手牌，此次行动中该状态卡无效。",
"英-T112.马奇诺防线
　在任意时机使用。你弃置4张手牌，防止在<西欧>的法国陆军在此次行动中被移除。",
"英-T113.空降兵特种部队袭击机场
　在你的出牌阶段开始时使用。你弃置2张手牌，移除1个与你空军相邻的轴心国空军。"
"英-T114.华沙起义
　在你的计分阶段开始时使用。你弃置2张手牌，在<东欧>征召陆军。",
"英-T116.法国陆军
　建设1个法国陆军。",
"英-T117.雇佣军
　在<非洲南部>或<非洲北部>或<马达加斯加>或<东南亚>或<新几内亚>或<中东>征召1个法国陆军。"
"英-T118.战斗法国
　建设1个法国陆军。",
"英-T119.联合自由军
　在<西欧>征召法国陆军。或有邻接<西欧>的法国军队，在<西欧>发动陆战。",
"英-TE193.与自由法国同盟
　在<西欧>，<非洲南部>，<非洲北部>中的1至2个区域征召法国陆军。"
"英-T122.波兰地下党
　移除在<东欧>的1个轴心国陆军。",
"英-T123.莱茵河和多瑙河
　在邻接处于补给状态的法国陆军发动1次陆战。",
"英-T120.法国皇家海军
　建设1个法国海军。"
"英-T121.自由法国海军
　建设1个法国海军。",
"英-TE147.荷属东印度
　在<印度尼西亚>和<新几内亚>征召法国陆军。在<南海>征召法国海军。",
"英-T126.亡命政府
　若<西欧>被轴心国陆军占领，则<不列颠群岛>成为法国的大本营。"
"英-TE175.自由法国
　法国军队处于补给状态。",
"英-T124.生命的飞跃
　在法国陆军将被移除时使用。此行动中该陆军不会被移除。",
"英-T125.法国爱国者加入同盟国
　美国或法国或英国在<非洲北部>或<非洲南部>或<中东>或<西欧>发动陆战后使用。在战斗区域征召法国陆军。"
"英-T129.塞内加尔狙击兵
　在<非洲南部>的所有同盟国陆军处于补给状态。在你的出牌阶段，你可在<非洲南部>征召法国陆军来代替出牌。",
"英-T128.波兰主权
　在<东欧>的英国陆军处于补给状态。在你的出牌阶段，你可在<东欧>征召英国陆军来代替出牌。",
"英-T127.霍巴特滑稽坦克
　在英国的行动中，无视轴心国的状态卡。"


"苏-T99.消耗战
　在你的弃牌阶段，你每弃置1张【建设陆军】，你获得1分。",
"苏-T100.政府避难萨马拉
　<西伯利亚>成为苏联的大本营，只会对苏联提供补给。在<西伯利亚>放置补给记号。<莫斯科>将不会提供补给。",
"苏-T103.坦克运输
　当你建设陆军时使用。从手牌中弃置1张【建设陆军】或【陆战】，在与建设的陆军相邻的1个区域发动陆战。"
"苏-T102.量与质兼得
　在你的行动中限1次，当你建设陆军时使用。从手牌中弃置1张【建设陆军】，额外地建设1支陆军。",
"苏-T101.中国人民解放军
　中国军队处于补给状态。在你的出牌阶段，你可在<中国西部>或<中国东部>或<蒙古地区>征召中国陆军来代替出牌。",
"苏-T98.撤退与改编
　当你在<莫斯科>或<乌克兰>的陆军将被移除时使用。在<西伯利亚>和<哈萨克斯坦>征召陆军。"
"苏-T97.重型坦克
　当你的陆军被发动战斗时使用。攻击方需弃置4张手牌，若不如此做，你的陆军不会被移除。",
"苏-T96.无休止的扩大
　在任意时机使用。在此行动中，在<西伯利亚>和<哈萨克斯坦>的苏联陆军不会被移除。",
"苏-T94.西伯利亚铁路
　在<西伯利亚>或邻接<西伯利亚>征召1支陆军。"
"苏-T93.千岛群岛登陆行动
　在<东海>建设海军，对日本发动1次战斗。",
"苏-T92.诺门坎事件
　在<蒙古地区>征召陆军，在<海参崴>或<中国东部>发动战斗。",
"苏-T90.朱可夫西方攻势
　当你在<鲁塞尼亚>或<东欧>或<乌克兰>或<巴尔干>发动战斗时使用。你弃置1张【建设陆军】，在发动战斗的区域建设陆军。"
"苏-T89.维捷布斯克之门
　在你的计分阶段开始时使用。你弃置1张【建设陆军】和其他2张手牌，移除1个在<莫斯科>或<鲁塞尼亚>的轴心国陆军。",
"苏-T88.空降部队
　当你配置或动员空军时使用。你弃置1张【建设陆军】，邻接该空军建设1支陆军。",
"苏-T87.Z计划
　在你的空军阶段开始时使用。你可配置中国空军，或使中国空军获得制空权。"
"苏-T86.要塞重建
　在你的弃牌阶段开始时使用。你弃置1张【建设陆军】，从弃牌堆选取1张对应卡并暗置此卡。",
"苏-T85.红军骑兵部队
　在你的出牌阶段开始时使用。你弃置1张【建设陆军】，移除版图上的1个苏联陆军，建设1支陆军。",
"苏-T84.莫斯科战役
　当你的所有陆军被移除后使用。你弃置1张【建设陆军】，移除1个在<莫斯科>或邻接<莫斯科>的轴心国陆军。"
"苏-T83.亚洲预备兵力
　在你的弃牌阶段开始时使用。从你的弃牌堆将2张【建设陆军】返回手牌。",
"美-T160.战时国债
　当你执行【资源再分配】时，你可从弃牌堆拿取1张基本牌，代替从摸牌堆拿取基本牌。",
"美-T155.抗日义勇军
　每当建设或征召中国陆军，或中国陆军被发动战斗时，日本需弃置1张手牌。"
"美-T156.人工港
　每回合限1次，当你建设海军时使用。你弃置摸牌堆顶的1张牌，邻接于建设的海军建设1支陆军。",
"美-T157.同盟国远征军最高司令部
　法国，美国，英国的部队可通过互相的部队抵达补给线。",
"美-T158.美国海军陆战队
　在带有【太平洋】字样的区域建设海军时使用。你弃置摸牌堆顶的1张牌，邻接于建设的海军发动1次陆战。"
"美-T159.胜利的庭院
　当你执行【资源再分配】时，你只需弃置1张手牌。",
"美-T154.百团大战
　在邻接于处于补给状态的中国陆军的区域发动1次陆战。",
"美-T153.巴西远征军
　在<拉丁美洲>建设陆军，在<中大西洋>或<南大西洋>建设海军。"
"美-T152.用枪杆子说话
　在带有【太平洋】字样的区域建设1支海军，邻接于建设的海军发动1次海战。",
"美-T151.现金兑换政策取代中立法
　任意的同盟国可在其大本营或邻接于大本营，征召1支海军或陆军。",
"美-T150.美国大众同情中国
　建设1个中国陆军。"
"美-T149.美国潜艇警戒日本航路
　每有1个距离<日本>2个区域内的美国海军，日本需弃置其摸牌堆顶的2张牌。",
"美-T148.抗日战争僵持阶段
　每有1个中国陆军或空军，日本需弃置其摸牌堆顶的2张牌。",
"美-T147.石油禁运
　德国，意大利，日本，需各自移除1个部队，或弃置其摸牌堆顶的2张牌。"
"美-T146.轰炸东京
　若距离<日本>3个区域内有处于补给状态的美国海军，则日本需弃置其摸牌堆顶的1张牌。你获得3分。",
"美-T145.奇袭部队
　当你配备或动员空军时使用。你弃置摸牌堆顶的1张牌，移除1个邻接于该空军的陆军。",
"美-T144.帕普•博因顿
　在你的计分阶段开始时使用。你弃置摸牌堆顶的1张牌，在<中太平洋>或邻接<中太平洋>配备1个空军。"
"美-T143.太平洋基地
　在你的计分阶段开始时使用。你弃置摸牌堆顶的1张牌，在邻接<中太平洋>的区域征召陆军。",
"美-T142.P-51野马式战斗机
　当你使用经济卡时使用。距离成为目标国家的大本营2区域内，每有1个美国空军，其需追加弃置摸牌堆顶的1张牌。",
"美-T141.政治哲学
　在你的弃牌阶段开始时使用。你弃置摸牌堆顶的2张牌，英国从其弃牌堆选取1张对应卡并暗置。"
"美-T140.纳瓦霍族密码通信兵
　在你的出牌阶段开始时使用。将1张增强卡暗置于桌面上。此卡可同对应卡一般使用。",
"美-T139.飞虎队
　在你的空军阶段开始时使用。你可配备1个中国空军，或使中国空军获得制空权。",
"美-T138.伦敦上空的鹰
　在你的空军阶段开始时使用。英国配备1个空军。"
"美-T137.地毯式轰炸
　当你发动战斗时使用。你可弃置1张经济卡，在相同的区域再次发动战斗。",
"美-T136.沉睡的巨人
　当你在带有【太平洋】字样的区域建设海军时使用。你弃置摸牌堆顶的1张牌，邻接于该海军建设1支海军或陆军。",
"美-TE214.美国志愿军扩大
　在<中国西部>的同盟国陆军处于补给状态。在你的出牌阶段，你可在<中国西部>征召中国陆军来代替出牌。"
"美-TE151.中印滇缅公路
　若在<东南亚>有同盟国的陆军，则在<中国东部>或<中国西部>征召1个中国陆军，或移除1个在<中国东部>或<中国西部>的轴心国陆军。",
"日-T60.J8M秋水喷气式战斗机
　在你的弃牌阶段开始时使用。移除1个与你空军相邻的同盟国空军。",
"日-T58.大日本帝国海军
　当你建设海军时使用。从手牌中弃置1张对应卡，额外建设1支海军。"
"日-T57.武士道
　当你的陆军被发动陆战时使用。从手牌中弃置1张对应卡，此战斗中该陆军不会被移除。",
"日-T59.诸岛要塞
　在你的计分阶段开始时使用。从手牌中弃置1张对应卡，在<印度尼西亚>或<新几内亚>或<硫磺岛>或<菲律宾>征召1支陆军。",
"日-T61.南云忠一指挥第一航空舰队
　当你在海域配备或动员空军时使用。从手牌中弃置1张对应卡，在与该空军相邻的1个区域发动战斗。"
"日-T62.太平洋帝国
　在你的计分阶段使用。你每有1个占领名字带有【太平洋】区域的海军，你获得1分。",
"日-T63.虎虎虎
　当你在<中太平洋>或与<中太平洋>相邻的区域获得制空权时使用。从手牌中弃置1张对应卡，在获得制空权的区域发动战斗。",
"日-T64.山本五十六指挥大和号
　在你的出牌阶段开始时使用。从手牌中弃置1张对应卡，在有你处于补给状态的海军的区域配备空军。"
"日-T66.轰炸重庆
　每有1个在<中国西部>或与<中国西部>相邻的日本空军，你获得1分。美国需弃置其摸牌堆上的2张牌。",
"日-T67.气球炸弹
　你获得1分。你可弃置3张手牌，将此牌返回你的手牌。",
"日-T68.<东海>军封锁<海参崴>
　每有1个在<东海>的<东海>军和空军，你获得1分。苏联需弃置其摸牌堆上的1张牌。"
"日-T69.皖南事变
　在你的出牌阶段开始时使用。移除1个中国陆军。","日-T70.满洲国
　在你的出牌阶段开始时使用。在<中国东部>征召陆军。",
"日-T76.泰国
　在你的出牌阶段开始时使用。在<东南亚>征召陆军。"
"日-T75.潜艇支援
　当你建设海军时使用。在与建设海军相邻的海域发动1至2次战斗。",
"日-T74.<东海>军陆战队
　当你建设海军时使用。在与建设海军相邻的陆地地区发动1至2次战斗。",
"日-T73.卢沟桥事变
　在你的出牌阶段开始时使用。在<中国东部>或与<中国东部>相邻的1个陆地地区发动战斗。"
"日-T71.日本军事援助印度民族主义者
　当你在印度发动战斗时使用。在印度建设陆军。",
"日-T72.舰队决战
　在你的出牌阶段开始时使用。发动1次海战。",
"日-T77.绝对国防圈
　在你的计分阶段，若版图上你有3个以上的海军，你获得1分。"
"日-T78.北进论
　在你的计分阶段，每有1个在<海参崴>或<西伯利亚>的日本陆军，你获得1分。",
"日-T79.日本控制南洋诸岛
　在你的计分阶段，若你有海军在<中太平洋>，你获得1分。","意-T31.贝塔松潜艇基地
　当德国使用带有【潜艇】字样的经济卡时使用。成为目标的同盟国，需追加弃置其摸牌堆上的3张牌。"
"意-T32.金方阵政变
　在你的计分阶段开始时使用。在<中东>征召陆军。",
"意-T33.意大利航母
　在你的出牌阶段开始时使用。弃置1张手牌，在你的1个海域配置或动员空军。",
"意-T34.钢铁协约
　在任意时机使用。德国可弃置0至5张手牌。意大利可随机地将相同数量的牌从自己的弃牌堆返回自己的摸牌堆顶。"
"意-T35.意大利皇家空军
　当你成为经济卡的目标时使用。你可从版图上移除你的1个空军来代替弃牌。",
"意-T37.无敌海军
　在你的计分阶段使用。版图上每有1个意大利海军，你获得1分。",
"意-T36.索马里兰
　在你的计分阶段使用。在<非洲南部>征召陆军。"
